"State","Name"
"1",NA
"All India",NA
"ALL INDIA",NA
"Andaman & Nicobar","Andaman and Nicobar"
"Andaman & Nicobar Islands","Andaman and Nicobar"
"ANDAMAN & NICOBARS","Andaman and Nicobar"
"Andaman and Nicobar Islands","Andaman and Nicobar"
"Andhaman and Nicobar Islands","Andaman and Nicobar"
"Andhra Pradesh","Andhra Pradesh"
"ANDHRA PRADESH","Andhra Pradesh"
"Andman and Nicobar Islands","Andaman and Nicobar"
"Arunachal Pradesh","Arunachal Pradesh"
"ARUNACHAL PRADESH","Arunachal Pradesh"
"Assam","Assam"
"ASSAM","Assam"
"Bihar","Bihar"
"BIHAR","Bihar"
"Bombay","Bombay"
"Chandigarh","Chandigarh"
"CHANDIGARH","Chandigarh"
"Chattisgarh","Chhattisgarh"
"Chhatisgarh","Chhattisgarh"
"CHHATISGARH","Chhattisgarh"
"Chhattisgarh","Chhattisgarh"
"CHHATTISGARH","Chhattisgarh"
"Chhattisgrah","Chhattisgarh"
"Dadar & Nagar Haveli","Dadra and Nagar Haveli"
"Dadar and Nagar Haveli","Dadra and Nagar Haveli"
"Dadra & Nagar Haveli","Dadra and Nagar Haveli"
"DADRA & NAGAR HAVELI","Dadra and Nagar Haveli"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli"
"Dadra and Nagar Havli","Dadra and Nagar Haveli"
"Dadra Nagar Haveli","Dadra and Nagar Haveli"
"Dadran and Nagar Haveli","Dadra and Nagar Haveli"
"Daman & Diu","Daman and Diu"
"DAMAN & DIU","Daman and Diu"
"Daman and Diu","Daman and Diu"
"Ddara and Nagar Haveli","Dadra and Nagar Haveli"
"Delhi","Delhi"
"DELHI","Delhi"
"Goa","Goa"
"GOA","Goa"
"Goa, Daman & Diu","Goa, Daman and Diu"
"Goa, Daman and Diu","Goa, Daman and Diu"
"Gujarat","Gujarat"
"GUJARAT","Gujarat"
"Gujarat.","Gujarat"
"Haryana","Haryana"
"HARYANA","Haryana"
"Hilly district total",NA
"Himachal Pradesh","Himachal Pradesh"
"HIMACHAL PRADESH","Himachal Pradesh"
"Himachal Pradesh.","Himachal Pradesh"
"Hyderabad","Hyderabad"
"Jammu &  Kashmir ","Jammu and Kashmir"
"Jammu & Kashmir","Jammu and Kashmir"
"JAMMU & KASHMIR","Jammu and Kashmir"
"Jammu and Kashmir","Jammu and Kashmir"
"Jharkhand","Jharkhand"
"JHARKHAND","Jharkhand"
"Jharkhnad","Jharkhand"
"Karnataka","Karnataka"
"KARNATAKA","Karnataka"
"Kerala","Kerala"
"KERALA","Kerala"
"Kerala/Karnataka","Kerala/Karnataka"
"Lakhshadweep","Lakshadweep"
"Lakshadweep","Lakshadweep"
"LAKSHADWEEP","Lakshadweep"
"Loccadivi, Minicoy Amindivi Islands","Lakshadweep"
"Madhaya Pradesh","Madhya Pradesh"
"Madhya Pradesh","Madhya Pradesh"
"MADHYA PRADESH","Madhya Pradesh"
"Madras","Madras"
"Maharashtra","Maharashtra"
"MAHARASHTRA","Maharashtra"
"Maharashtra & Gujarat-","Maharashtra and Gujarat"
"Manipur","Manipur"
"MANIPUR","Manipur"
"Megalaya","Meghalaya"
"Meghalaya","Meghalaya"
"MEGHALAYA","Meghalaya"
"Meghalaya ","Meghalaya"
"Mizoram","Mizoram"
"MIZORAM","Mizoram"
"Mysore","Mysore"
"Mysore 1965-66 to 1966-67","Mysore"
"N.E.F.A.",NA
NA,NA
"Nagaland","Nagaland"
"NAGALAND","Nagaland"
"NEFA",NA
"Odhisa","Orissa"
"Odhisha","Orissa"
"Odisha","Orissa"
"ODISHA","Orissa"
"Orissa","Orissa"
"ORISSA","Orissa"
"Orissa.","Orissa"
"Poducherry","Puducherry"
"Pondicherry","Puducherry"
"PONDICHERRY","Puducherry"
"Pudducherry","Puducherry"
"Puducherry","Puducherry"
"PUDUCHERRY","Puducherry"
"Punjab","Punjab"
"PUNJAB","Punjab"
"Rajashtan","Rajasthan"
"Rajasthan","Rajasthan"
"RAJASTHAN","Rajasthan"
"Saurashtra","Saurashtra"
"Sikkim","Sikkim"
"SIKKIM","Sikkim"
"Tamil  Nadu","Tamil Nadu"
"Tamil nadu","Tamil Nadu"
"Tamil Nadu","Tamil Nadu"
"TAMIL NADU","Tamil Nadu"
"Tamilnadu","Tamil Nadu"
"TOTAL",NA
"Total Excluding N.E.F.A.",NA
"Total Including N.E.F.A.",NA
"Tripura","Tripura"
"TRIPURA","Tripura"
"UNKNOWN",NA
"Uttar Pradesh","Uttar Pradesh"
"UTTAR PRADESH","Uttar Pradesh"
"Uttarakhand","Uttarakhand"
"UTTARAKHAND","Uttarakhand"
"Uttaranchal","Uttarakhand"
"UTTARANCHAL","Uttarakhand"
"West Bengal","West Bengal"
"WEST BENGAL","West Bengal"
"West Bengal 1961-62 to 1962-63","West Bengal"
